fipscounty,pred,predict_date,k
55075,2913.6624559464894,2020-11-23,3
55075,2865.227861594131,2020-11-22,3
55075,2819.942947158346,2020-11-21,3
55075,2770.5661615654594,2020-11-20,3
55075,2746.421560415094,2020-11-19,3
55075,2713.175488745506,2020-11-18,3
55075,2667.9190110604263,2020-11-17,3
55075,2618.5650245678107,2020-11-16,3
55075,2561.10776305669,2020-11-15,3
55075,2482.5068976521757,2020-11-14,3
55075,2431.1217861128807,2020-11-13,3
55075,2398.9056211801085,2020-11-12,3
55075,2389.907902587358,2020-11-11,3
55075,2371.8736615294733,2020-11-10,3
55075,2286.258341332384,2020-11-09,3
55075,2223.8289652235107,2020-11-08,3
55075,2182.5838951804963,2020-11-07,3
55075,2133.2906523275333,2020-11-06,3
55075,2089.9923929099423,2020-11-05,3
55075,2068.9353353075885,2020-11-04,3
55075,2022.701173066522,2020-11-03,3
55075,1956.2780430324935,2020-11-02,3
55075,1921.0625832008382,2020-11-01,3
55075,1874.740101134063,2020-10-31,3
55075,1840.5781660816103,2020-10-30,3
55075,1783.160390389954,2020-10-29,3
55075,1758.0395278999767,2020-10-28,3
55075,1727.8780479166983,2020-10-27,3
55075,1705.7553501033285,2020-10-26,3
55075,1651.3745791175045,2020-10-25,3
55075,1615.060374027883,2020-10-24,3
55075,1582.8639227100925,2020-10-23,3
55075,1523.401463286391,2020-10-22,3
55075,1480.1216671109764,2020-10-21,3
55075,1480.2209879936802,2020-10-20,3
55075,1480.2721198283205,2020-10-19,3
55075,1447.0739101181093,2020-10-18,3
55075,1419.9278586460875,2020-10-17,3
55075,1393.73549332113,2020-10-16,3
55075,1364.521530837903,2020-10-15,3
55075,1351.4655695820054,2020-10-14,3
55075,1325.3221947351212,2020-10-13,3
55075,1276.9753740026551,2020-10-12,3
55075,1248.8181938351322,2020-10-11,3
55075,1223.6290336581915,2020-10-10,3
55075,1196.4660802314838,2020-10-09,3
55075,1185.4389362240647,2020-10-08,3
55075,1168.369524976024,2020-10-07,3
55075,1150.2954179850901,2020-10-06,3
55075,1118.0772855031848,2020-10-05,3
55075,1067.6256793588814,2020-10-04,3
55075,1047.4573544648056,2020-10-03,3
55075,1007.1374863287814,2020-10-02,3
55075,974.8809550172361,2020-10-01,3
55075,952.7419142775954,2020-09-30,3
55075,914.4505692346954,2020-09-29,3
55075,884.1920045401356,2020-09-28,3
55075,845.8278875986321,2020-09-27,3
55075,812.523594005778,2020-09-26,3
55075,798.423082211783,2020-09-25,3
55075,779.2888786810327,2020-09-24,3
55075,761.1916779113188,2020-09-23,3
55075,753.1555601343572,2020-09-22,3
55075,736.0227552325968,2020-09-21,3
55075,722.9323882777254,2020-09-20,3
55075,707.7989764851816,2020-09-19,3
55075,700.7452496911874,2020-09-18,3
55075,679.5493325881891,2020-09-17,3
55075,678.6009021481317,2020-09-16,3
55075,669.5628947108429,2020-09-15,3
55075,664.5524534836302,2020-09-14,3
55075,656.4984216899766,2020-09-13,3
55075,656.5122913661424,2020-09-12,3
55075,652.5002863478647,2020-09-11,3
55075,650.5446302805631,2020-09-10,3
55075,642.5299232964945,2020-09-09,3
55075,640.5604715604268,2020-09-08,3
55075,636.5520023286099,2020-09-07,3
55075,629.5111017810343,2020-09-06,3
55075,627.5469379259862,2020-09-05,3
55075,623.5325325205067,2020-09-04,3
55075,619.5152928216736,2020-09-03,3
55075,619.5801552969507,2020-09-02,3
55075,611.5439699668252,2020-09-01,3
55075,603.4760354566133,2020-08-31,3
55075,591.3685519062342,2020-08-30,3
55075,583.3081190875442,2020-08-29,3
55075,579.2810249328517,2020-08-28,3
55075,574.2179720596331,2020-08-27,3
55075,572.2556092724407,2020-08-26,3
55075,567.2658099342163,2020-08-25,3
55075,551.092077260313,2020-08-24,3
55075,538.9791730274725,2020-08-23,3
55075,531.9256577616741,2020-08-22,3
55075,522.8634890450847,2020-08-21,3
55075,509.72240100340224,2020-08-20,3
55075,503.70945455965926,2020-08-19,3
55075,493.6446996532263,2020-08-18,3
55075,487.62337625872294,2020-08-17,3
55075,457.25146415955714,2020-08-16,3
55075,440.0395605914932,2020-08-15,3
55075,440.07881968777514,2020-08-14,3
55075,418.79686975988307,2020-08-13,3
55075,402.61412472857097,2020-08-12,3
55075,394.574854618392,2020-08-11,3
55075,383.4504437330571,2020-08-10,3
55075,363.19304301049726,2020-08-09,3
55075,357.13283384543985,2020-08-08,3
55075,349.04975470375865,2020-08-07,3
55075,337.8816163254366,2020-08-06,3
55075,321.6930241031463,2020-08-05,3
55075,304.4785113593704,2020-08-04,3
55075,286.23177214010667,2020-08-03,3
55075,278.1259019418205,2020-08-02,3
55075,262.9056481429743,2020-08-01,3
55075,260.8752692347687,2020-07-31,3
55075,237.5370278255584,2020-07-30,3
55075,236.53489085483233,2020-07-29,3
55075,231.4796579584417,2020-07-28,3
55075,213.21349841133446,2020-07-27,3
55075,207.12546549996952,2020-07-26,3
55075,201.04868273332863,2020-07-25,3
55075,193.95887316621625,2020-07-24,3
55075,181.77026130646786,2020-07-23,3
55075,163.4723320958722,2020-07-22,3
55075,153.31641404829136,2020-07-21,3
55075,143.14918041200931,2020-07-20,3
55075,137.05041390607948,2020-07-19,3
55075,129.93705253146877,2020-07-18,3
55075,124.84724164233617,2020-07-17,3
55075,103.45197151411368,2020-07-16,3
55075,98.35426571068827,2020-07-15,3
55075,92.24945675663368,2020-07-14,3
55075,85.11863278256968,2020-07-13,3
55075,78.00968071514791,2020-07-12,3
55075,75.9838566535279,2020-07-11,3
55075,73.9735497889385,2020-07-10,3
55075,70.94369580108196,2020-07-09,3
55075,67.92253909186799,2020-07-08,3
55075,67.93521655968051,2020-07-07,3
55075,66.93685048201755,2020-07-06,3
55075,62.90517274078576,2020-07-05,3
55075,62.91298161729076,2020-07-04,3
55075,58.89815798571063,2020-07-03,3
55075,55.895917846928484,2020-07-02,3
55075,55.90481769832585,2020-07-01,3
55075,52.90229921418976,2020-06-30,3
55075,51.910027768512016,2020-06-29,3
55075,50.90490989241919,2020-06-28,3
55075,47.90039616743627,2020-06-27,3
55075,47.90783050693869,2020-06-26,3
55075,44.899095602033874,2020-06-25,3
55075,44.90289695521114,2020-06-24,3
55075,44.92070404013142,2020-06-23,3
55075,44.92684801852329,2020-06-22,3
55075,42.929021307527194,2020-06-21,3
55075,42.94152657400211,2020-06-20,3
55075,42.95054134901995,2020-06-19,3
55075,42.96905243804667,2020-06-18,3
55075,41.97475838339886,2020-06-17,3
55075,41.98607681379144,2020-06-16,3
55075,39.987639239030045,2020-06-15,3
55075,39.996180920841,2020-06-14,3
55075,40.0086803263033,2020-06-13,3
55075,40.02173209017592,2020-06-12,3
55075,39.02990017522791,2020-06-11,3
55075,39.04870005381637,2020-06-10,3
55075,36.050774295525436,2020-06-09,3
55075,0,2020-06-08,3
55075,0,2020-06-07,3
55075,0,2020-06-06,3
55075,0,2020-06-05,3
55075,0,2020-06-04,3
55075,0,2020-06-03,3
55075,0,2020-06-02,3
55075,0,2020-06-01,3
55075,0,2020-05-31,3
55075,0,2020-05-30,3
55075,0,2020-05-29,3
55075,0,2020-05-28,3
55075,0,2020-05-27,3
55075,0,2020-05-26,3
55075,0,2020-05-25,3
55075,0,2020-05-24,3
55075,0,2020-05-23,3
55075,0,2020-05-22,3
55075,0,2020-05-21,3
55075,0,2020-05-20,3
55075,0,2020-05-19,3
55075,0,2020-05-18,3
55075,0,2020-05-17,3
55075,0,2020-05-16,3
55075,0,2020-05-15,3
55075,0,2020-05-14,3
55075,0,2020-05-13,3
55075,0,2020-05-12,3
55075,0,2020-05-11,3
55075,0,2020-05-10,3
55075,0,2020-05-09,3
