"","date","county","arima.pred","arima.w","ma.pred","ma.w","clep"
"1",2020-08-01,6085,NA,NA,NA,NA,NA
"2",2020-08-01,6081,NA,NA,NA,NA,NA
"3",2020-08-01,6097,NA,NA,NA,NA,NA
"4",2020-08-01,6001,NA,NA,NA,NA,NA
"5",2020-08-01,6013,NA,NA,NA,NA,NA
"6",2020-08-01,6075,NA,NA,NA,NA,NA
"7",2020-08-01,6039,NA,NA,NA,NA,NA
"8",2020-08-01,6019,NA,NA,NA,NA,NA
"9",2020-08-01,6095,NA,NA,NA,NA,NA
"10",2020-08-01,6099,NA,NA,NA,NA,NA
"11",2020-08-01,6107,NA,NA,NA,NA,NA
"12",2020-08-01,6041,NA,NA,NA,NA,NA
"13",2020-08-01,6047,NA,NA,NA,NA,NA
"14",2020-08-01,6055,NA,NA,NA,NA,NA
"15",2020-08-02,6085,NA,NA,NA,NA,NA
"16",2020-08-02,6081,NA,NA,NA,NA,NA
"17",2020-08-02,6097,NA,NA,NA,NA,NA
"18",2020-08-02,6001,NA,NA,NA,NA,NA
"19",2020-08-02,6013,NA,NA,NA,NA,NA
"20",2020-08-02,6075,NA,NA,NA,NA,NA
"21",2020-08-02,6039,NA,NA,NA,NA,NA
"22",2020-08-02,6019,NA,NA,NA,NA,NA
"23",2020-08-02,6095,NA,NA,NA,NA,NA
"24",2020-08-02,6099,NA,NA,NA,NA,NA
"25",2020-08-02,6107,NA,NA,NA,NA,NA
"26",2020-08-02,6041,NA,NA,NA,NA,NA
"27",2020-08-02,6047,NA,NA,NA,NA,NA
"28",2020-08-02,6055,NA,NA,NA,NA,NA
"29",2020-08-03,6085,NA,NA,NA,NA,NA
"30",2020-08-03,6081,NA,NA,NA,NA,NA
"31",2020-08-03,6097,NA,NA,NA,NA,NA
"32",2020-08-03,6001,NA,NA,NA,NA,NA
"33",2020-08-03,6013,NA,NA,NA,NA,NA
"34",2020-08-03,6075,NA,NA,NA,NA,NA
"35",2020-08-03,6039,NA,NA,NA,NA,NA
"36",2020-08-03,6019,NA,NA,NA,NA,NA
"37",2020-08-03,6095,NA,NA,NA,NA,NA
"38",2020-08-03,6099,NA,NA,NA,NA,NA
"39",2020-08-03,6107,NA,NA,NA,NA,NA
"40",2020-08-03,6041,NA,NA,NA,NA,NA
"41",2020-08-03,6047,NA,NA,NA,NA,NA
"42",2020-08-03,6055,NA,NA,NA,NA,NA
"43",2020-08-04,6085,NA,NA,NA,NA,NA
"44",2020-08-04,6081,NA,NA,NA,NA,NA
"45",2020-08-04,6097,NA,NA,NA,NA,NA
"46",2020-08-04,6001,NA,NA,NA,NA,NA
"47",2020-08-04,6013,NA,NA,NA,NA,NA
"48",2020-08-04,6075,NA,NA,NA,NA,NA
"49",2020-08-04,6039,NA,NA,NA,NA,NA
"50",2020-08-04,6019,NA,NA,NA,NA,NA
"51",2020-08-04,6095,NA,NA,NA,NA,NA
"52",2020-08-04,6099,NA,NA,NA,NA,NA
"53",2020-08-04,6107,NA,NA,NA,NA,NA
"54",2020-08-04,6041,NA,NA,NA,NA,NA
"55",2020-08-04,6047,NA,NA,NA,NA,NA
"56",2020-08-04,6055,NA,NA,NA,NA,NA
"57",2020-08-05,6085,NA,NA,NA,NA,NA
"58",2020-08-05,6081,NA,NA,NA,NA,NA
"59",2020-08-05,6097,NA,NA,NA,NA,NA
"60",2020-08-05,6001,NA,NA,NA,NA,NA
"61",2020-08-05,6013,NA,NA,NA,NA,NA
"62",2020-08-05,6075,NA,NA,NA,NA,NA
"63",2020-08-05,6039,NA,NA,NA,NA,NA
"64",2020-08-05,6019,NA,NA,NA,NA,NA
"65",2020-08-05,6095,NA,NA,NA,NA,NA
"66",2020-08-05,6099,NA,NA,NA,NA,NA
"67",2020-08-05,6107,NA,NA,NA,NA,NA
"68",2020-08-05,6041,NA,NA,NA,NA,NA
"69",2020-08-05,6047,NA,NA,NA,NA,NA
"70",2020-08-05,6055,NA,NA,NA,NA,NA
"71",2020-08-06,6085,NA,NA,NA,NA,NA
"72",2020-08-06,6081,NA,NA,NA,NA,NA
"73",2020-08-06,6097,NA,NA,NA,NA,NA
"74",2020-08-06,6001,NA,NA,NA,NA,NA
"75",2020-08-06,6013,NA,NA,NA,NA,NA
"76",2020-08-06,6075,NA,NA,NA,NA,NA
"77",2020-08-06,6039,NA,NA,NA,NA,NA
"78",2020-08-06,6019,NA,NA,NA,NA,NA
"79",2020-08-06,6095,NA,NA,NA,NA,NA
"80",2020-08-06,6099,NA,NA,NA,NA,NA
"81",2020-08-06,6107,NA,NA,NA,NA,NA
"82",2020-08-06,6041,NA,NA,NA,NA,NA
"83",2020-08-06,6047,NA,NA,NA,NA,NA
"84",2020-08-06,6055,NA,NA,NA,NA,NA
"85",2020-08-07,6085,NA,NA,NA,NA,NA
"86",2020-08-07,6081,NA,NA,NA,NA,NA
"87",2020-08-07,6097,NA,NA,NA,NA,NA
"88",2020-08-07,6001,NA,NA,NA,NA,NA
"89",2020-08-07,6013,NA,NA,NA,NA,NA
"90",2020-08-07,6075,NA,NA,NA,NA,NA
"91",2020-08-07,6039,NA,NA,NA,NA,NA
"92",2020-08-07,6019,NA,NA,NA,NA,NA
"93",2020-08-07,6095,NA,NA,NA,NA,NA
"94",2020-08-07,6099,NA,NA,NA,NA,NA
"95",2020-08-07,6107,NA,NA,NA,NA,NA
"96",2020-08-07,6041,NA,NA,NA,NA,NA
"97",2020-08-07,6047,NA,NA,NA,NA,NA
"98",2020-08-07,6055,NA,NA,NA,NA,NA
"99",2020-08-08,6085,NA,NA,NA,NA,NA
"100",2020-08-08,6081,NA,NA,NA,NA,NA
"101",2020-08-08,6097,NA,NA,NA,NA,NA
"102",2020-08-08,6001,NA,NA,NA,NA,NA
"103",2020-08-08,6013,NA,NA,NA,NA,NA
"104",2020-08-08,6075,NA,NA,NA,NA,NA
"105",2020-08-08,6039,NA,NA,NA,NA,NA
"106",2020-08-08,6019,NA,NA,NA,NA,NA
"107",2020-08-08,6095,NA,NA,NA,NA,NA
"108",2020-08-08,6099,NA,NA,NA,NA,NA
"109",2020-08-08,6107,NA,NA,NA,NA,NA
"110",2020-08-08,6041,NA,NA,NA,NA,NA
"111",2020-08-08,6047,NA,NA,NA,NA,NA
"112",2020-08-08,6055,NA,NA,NA,NA,NA
"113",2020-08-09,6085,NA,NA,NA,NA,NA
"114",2020-08-09,6081,NA,NA,NA,NA,NA
"115",2020-08-09,6097,NA,NA,NA,NA,NA
"116",2020-08-09,6001,NA,NA,NA,NA,NA
"117",2020-08-09,6013,NA,NA,NA,NA,NA
"118",2020-08-09,6075,NA,NA,NA,NA,NA
"119",2020-08-09,6039,NA,NA,NA,NA,NA
"120",2020-08-09,6019,NA,NA,NA,NA,NA
"121",2020-08-09,6095,NA,NA,NA,NA,NA
"122",2020-08-09,6099,NA,NA,NA,NA,NA
"123",2020-08-09,6107,NA,NA,NA,NA,NA
"124",2020-08-09,6041,NA,NA,NA,NA,NA
"125",2020-08-09,6047,NA,NA,NA,NA,NA
"126",2020-08-09,6055,NA,NA,NA,NA,NA
"127",2020-08-10,6085,NA,NA,NA,NA,NA
"128",2020-08-10,6081,NA,NA,NA,NA,NA
"129",2020-08-10,6097,NA,NA,NA,NA,NA
"130",2020-08-10,6001,NA,NA,NA,NA,NA
"131",2020-08-10,6013,NA,NA,NA,NA,NA
"132",2020-08-10,6075,NA,NA,NA,NA,NA
"133",2020-08-10,6039,NA,NA,NA,NA,NA
"134",2020-08-10,6019,NA,NA,NA,NA,NA
"135",2020-08-10,6095,NA,NA,NA,NA,NA
"136",2020-08-10,6099,NA,NA,NA,NA,NA
"137",2020-08-10,6107,NA,NA,NA,NA,NA
"138",2020-08-10,6041,NA,NA,NA,NA,NA
"139",2020-08-10,6047,NA,NA,NA,NA,NA
"140",2020-08-10,6055,NA,NA,NA,NA,NA
"141",2020-08-11,6085,NA,NA,NA,NA,NA
"142",2020-08-11,6081,NA,NA,NA,NA,NA
"143",2020-08-11,6097,NA,NA,NA,NA,NA
"144",2020-08-11,6001,NA,NA,NA,NA,NA
"145",2020-08-11,6013,NA,NA,NA,NA,NA
"146",2020-08-11,6075,NA,NA,NA,NA,NA
"147",2020-08-11,6039,NA,NA,NA,NA,NA
"148",2020-08-11,6019,NA,NA,NA,NA,NA
"149",2020-08-11,6095,NA,NA,NA,NA,NA
"150",2020-08-11,6099,NA,NA,NA,NA,NA
"151",2020-08-11,6107,NA,NA,NA,NA,NA
"152",2020-08-11,6041,NA,NA,NA,NA,NA
"153",2020-08-11,6047,NA,NA,NA,NA,NA
"154",2020-08-11,6055,NA,NA,NA,NA,NA
"155",2020-08-12,6085,212.807917249664,0.49276806163583,212.118108756592,0.50723193836417,212.458024350623
"156",2020-08-12,6081,122.340446210116,0.478089761802729,120.722019575813,0.521910238197271,121.495772779902
"157",2020-08-12,6097,55.1238673886049,0.569872042147555,62.3170308591091,0.430127957852445,58.2178481026717
"158",2020-08-12,6001,200.296021795053,0.507511455207781,201.349248851038,0.492488544792219,200.814724055191
"159",2020-08-12,6013,146.988489122693,0.546985416937331,149.649557703403,0.453014583062668,148.193991996284
"160",2020-08-12,6075,66.5421462326775,0.516213032019102,67.8515022353717,0.483786967980898,67.1755956032285
"161",2020-08-12,6039,46.6168625004306,0.604273891114008,47.2867422797636,0.395726108885992,46.8819514189275
"162",2020-08-12,6019,196.245990787538,0.440340871805036,200.563571717595,0.559659128194964,198.662364366765
"163",2020-08-12,6095,41.7665940428685,0.490943463052564,42.3081851736369,0.509056536947436,42.0422945483389
"164",2020-08-12,6099,199.905637227962,0.426490652286414,220.43327602147,0.573509347713586,211.678429962527
"165",2020-08-12,6107,204.86821982105,0.496642109563905,210.184450473377,0.503357890436095,207.544186467277
"166",2020-08-12,6041,84.9281023941871,0.585536115480604,84.3780217593738,0.414463884519397,84.7001138374835
"167",2020-08-12,6047,76.7498425914406,0.678018564706536,76.9111901281309,0.321981435293464,76.8017935028852
"168",2020-08-12,6055,10.3985736483586,0.516726892676826,11.8041830144515,0.483273107323174,11.0778668543929
"169",2020-08-13,6085,213.025876243499,0.485316184322517,213.907547255813,0.514683815677483,213.479658044289
"170",2020-08-13,6081,122.211071956789,0.48834011853065,120.722019575813,0.51165988146935,121.449183592037
"171",2020-08-13,6097,56.019432657586,0.674616528606347,56.0150984581659,0.325383471393653,56.018022380733
"172",2020-08-13,6001,199.864079851723,0.506729993281282,195.923772202014,0.493270006718718,197.920444270877
"173",2020-08-13,6013,148.861669714353,0.610666277436412,151.626868791711,0.389333722563588,149.93825496477
"174",2020-08-13,6075,70.4279450140569,0.4835589643881,71.6851808994108,0.5164410356119,71.0772332166975
"175",2020-08-13,6039,46.5359358763783,0.62291984624283,47.2867422797636,0.37708015375717,46.8190500704087
"176",2020-08-13,6019,194.76283572153,0.418140476339532,200.563571717595,0.581859523660468,198.138049205081
"177",2020-08-13,6095,41.5912002113483,0.502628930838639,42.3081851736369,0.497371069161361,41.9478077886144
"178",2020-08-13,6099,191.980504369431,0.389718803880889,214.24807568116,0.610281196119111,205.56998442422
"179",2020-08-13,6107,204.477314147388,0.537287816018944,210.184450473377,0.462712183981056,207.118075661064
"180",2020-08-13,6041,83.4892994247957,0.61752918978719,84.3780217593738,0.38247081021281,83.829209776156
